match_id,period,player_id,player_name,player_position,team_shortname,x_start,y_start,x_end,y_end,start_zone,end_zone,game_state,inter_con_rec,inter_sin_rec,intercepciones
2047793,1,38610,S. Arzamendia,LB,Estudiantes,-25.99,16.81,-25.99,16.81,2,2,drawing,1,0,1
2047793,1,123094,A. García Basso,LCB,Racing Club,-42.24,23.47,-42.24,23.47,2,2,drawing,0,1,1
2047793,1,123094,A. García Basso,LCB,Racing Club,-39.22,-0.28,-39.22,-0.28,3,3,drawing,1,0,1
2047793,1,28747,E. Almendra,LM,Racing Club,-17.61,10.89,-14.62,6.12,8,8,drawing,1,0,1
2047793,1,58765,T. Palacios,RW,Estudiantes,-16.95,-18.83,-5.24,-12.01,9,9,drawing,1,0,1
2047793,1,812900,R. Gómez,RB,Estudiantes,33.39,-30.79,33.39,-30.79,20,20,drawing,1,0,1
2047793,1,58765,T. Palacios,RW,Estudiantes,-23.05,-22.31,-23.05,-22.31,10,10,drawing,1,0,1
2047793,1,131530,S. Núñez,RCB,Estudiantes,-40.0,0.02,-40.0,0.02,3,3,drawing,1,0,1
2047793,1,38610,S. Arzamendia,LB,Estudiantes,-3.77,19.01,-5.94,22.88,7,7,drawing,1,0,1
2047793,1,35564,G. Rojas,LB,Racing Club,-27.02,16.02,-27.02,16.02,2,2,drawing,1,0,1
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,19.26,-8.55,19.26,-8.55,14,14,drawing,1,0,1
2047793,1,35564,G. Rojas,LB,Racing Club,-34.29,20.01,-34.29,20.01,2,2,drawing,1,0,1
2047793,1,131530,S. Núñez,RCB,Estudiantes,-3.61,-24.89,-3.61,-24.89,10,10,drawing,1,0,1
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,12.9,-17.29,12.9,-17.29,14,14,drawing,1,0,1
2047793,1,28755,F. Mura,RB,Racing Club,-15.53,-9.3,-22.39,-20.11,9,10,drawing,1,0,1
2047793,1,38610,S. Arzamendia,LB,Estudiantes,-11.05,28.68,-11.05,28.68,7,7,drawing,0,1,1
2047793,1,38610,S. Arzamendia,LB,Estudiantes,-24.51,19.61,-24.51,19.61,7,7,drawing,1,0,1
2047793,1,28755,F. Mura,RB,Racing Club,17.25,-25.06,17.25,-25.06,15,15,drawing,1,0,1
2047793,1,38610,S. Arzamendia,LB,Estudiantes,-30.44,21.85,-30.44,21.85,2,2,drawing,1,0,1
2047793,1,36728,S. Sosa,DM,Racing Club,-6.97,-23.52,-6.97,-23.52,10,10,drawing,1,0,1
2047793,1,131530,S. Núñez,RCB,Estudiantes,-18.77,4.48,-18.77,4.48,8,8,drawing,1,0,1
2047793,1,26252,J. Nardoni,RM,Racing Club,6.54,-9.04,8.65,-8.14,14,14,drawing,0,1,1
2047793,1,35671,D. Vergara,LF,Racing Club,42.64,15.17,42.64,15.17,17,17,drawing,0,0,1
2047793,1,36728,S. Sosa,DM,Racing Club,-39.82,9.8,-39.82,9.8,3,3,drawing,1,0,1
2047793,1,58765,T. Palacios,RW,Estudiantes,27.71,-20.02,26.1,-20.69,20,15,drawing,1,0,1
2047793,1,35564,G. Rojas,LB,Racing Club,-42.43,19.89,-45.72,22.12,2,2,drawing,1,0,1
2047793,1,34536,L. González Pírez,LCB,Estudiantes,-35.42,18.22,-48.87,24.89,2,2,drawing,1,0,1
2047793,1,36722,F. Cambeses,GK,Racing Club,-46.56,9.51,-48.02,-2.47,3,3,drawing,1,0,1
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,2.7,-15.38,2.7,-15.38,14,14,drawing,1,0,1
2047793,1,58765,T. Palacios,RW,Estudiantes,-19.4,-22.94,-19.4,-22.94,10,10,drawing,1,0,1
2047793,1,35564,G. Rojas,LB,Racing Club,35.76,25.13,41.86,18.14,17,17,drawing,1,0,1
2047793,1,38610,S. Arzamendia,LB,Estudiantes,-39.02,9.71,-39.02,9.71,3,3,drawing,1,0,1
2047793,1,28747,E. Almendra,LM,Racing Club,21.47,-1.2,22.1,1.1,13,13,drawing,1,0,1
2047793,1,25949,E. Cetré,LW,Estudiantes,-22.34,19.55,-21.84,15.39,7,7,drawing,1,0,1
2047793,1,28677,N. Colombo,RCB,Racing Club,-25.95,-12.89,-10.85,-18.95,4,9,drawing,1,0,1
2047793,1,58765,T. Palacios,RW,Estudiantes,-19.18,-21.26,-19.18,-21.26,10,10,drawing,1,0,1
2047793,1,36722,F. Cambeses,GK,Racing Club,-32.03,3.42,-33.45,4.46,3,3,drawing,1,0,1
2047793,1,123094,A. García Basso,LCB,Racing Club,-21.68,-17.38,-21.68,-17.38,9,9,drawing,1,0,1
2047793,1,36739,C. Medina,LM,Estudiantes,12.17,17.21,27.73,-1.7,12,18,drawing,1,0,1
2047793,1,38610,S. Arzamendia,LB,Estudiantes,-32.48,31.54,-43.66,32.72,1,1,drawing,1,0,1
2047793,1,131530,S. Núñez,RCB,Estudiantes,-30.91,-11.67,-30.91,-11.67,4,4,drawing,1,0,1
2047793,1,28615,E. Piovi,DM,Estudiantes,-38.25,-9.44,-38.25,-9.44,4,4,drawing,1,0,1
2047793,1,58765,T. Palacios,RW,Estudiantes,-31.19,-19.76,-21.77,-15.04,5,9,drawing,0,1,1
2047793,1,36728,S. Sosa,DM,Racing Club,-38.75,0.67,-38.75,0.67,3,3,drawing,1,0,1
2047793,1,35564,G. Rojas,LB,Racing Club,8.82,28.43,8.82,28.43,12,12,drawing,1,0,1
2047793,1,28677,N. Colombo,RCB,Racing Club,-13.46,11.12,-15.22,16.21,8,7,drawing,1,0,1
2047793,1,812900,R. Gómez,RB,Estudiantes,-29.92,-28.91,-29.92,-28.91,5,5,drawing,1,0,1
2047793,1,35671,D. Vergara,LF,Racing Club,16.97,30.09,15.1,30.71,11,11,drawing,0,1,1
2047793,1,36722,F. Cambeses,GK,Racing Club,-46.17,-17.95,-46.85,-18.48,4,4,drawing,1,0,1
2047793,1,34536,L. González Pírez,LCB,Estudiantes,-43.86,-0.84,-43.86,-0.84,3,3,drawing,1,0,1
2047793,1,38610,S. Arzamendia,LB,Estudiantes,-17.76,23.6,-17.76,23.6,7,7,drawing,1,0,1
2047793,1,38610,S. Arzamendia,LB,Estudiantes,2.95,25.4,2.95,25.4,12,12,drawing,1,0,1
2047793,1,131530,S. Núñez,RCB,Estudiantes,-34.49,-32.84,-34.49,-32.84,5,5,drawing,1,0,1
2047793,2,35564,G. Rojas,LB,Racing Club,-26.46,8.3,-26.46,8.3,3,3,drawing,1,0,1
