match_id,period,player_name,player_position,team_shortname,x_start,y_start,start_zone,x_end,y_end,end_zone,game_state,tiro_primera,tiro_no_primera,tiro_cabeza,tiro_dentro_area,gol
2047793,1,J. Nardoni,RM,Racing Club,23.97,-7.99,14,23.97,-7.99,14,drawing,1,0,0,0,0
2047793,1,D. Vergara,LF,Racing Club,6.32,29.11,12,31.63,14.07,17,drawing,0,1,0,0,0
2047793,1,D. Vergara,LF,Racing Club,42.64,15.17,17,42.64,15.17,17,drawing,1,0,0,1,0
2047793,1,T. Palacios,RW,Estudiantes,21.35,-26.53,15,38.13,-21.93,20,drawing,0,1,0,0,0
2047793,1,T. Palacios,RW,Estudiantes,36.59,-13.42,19,41.3,-13.08,19,drawing,0,1,0,1,0
2047793,1,G. Carrillo,CF,Estudiantes,35.13,-11.18,19,38.1,-11.85,19,drawing,0,1,0,1,0
2047793,1,E. Piovi,DM,Estudiantes,19.81,0.91,13,23.09,-0.52,13,drawing,0,1,0,0,0
2047793,1,N. Colombo,RCB,Racing Club,42.85,0.86,18,42.85,0.86,18,drawing,1,0,1,1,0
2047793,1,S. Solari,RF,Racing Club,40.23,0.62,18,40.23,0.62,18,drawing,1,0,1,1,0
2047793,1,E. Cetré,LW,Estudiantes,30.28,28.07,17,34.78,20.95,17,drawing,0,1,0,0,0
2047793,2,G. Carrillo,CF,Estudiantes,37.56,-6.57,19,37.56,-6.57,19,drawing,1,0,0,1,0
2047793,2,G. Rojas,LB,Racing Club,26.75,5.3,13,26.75,5.3,13,drawing,1,0,0,0,0
2047793,2,S. Arzamendia,LB,Estudiantes,7.53,21.55,12,27.22,19.49,12,drawing,0,1,0,0,0
2047793,2,A. Martínez,CF,Racing Club,17.64,3.01,13,41.2,13.67,17,drawing,0,1,0,0,1
2047793,2,G. Carrillo,CF,Estudiantes,37.94,2.52,18,37.94,2.52,18,drawing,1,0,1,1,1
2047793,3,E. Cetré,LW,Estudiantes,24.31,29.88,11,29.54,22.36,17,drawing,0,1,0,0,0
2047793,3,J. Nardoni,RM,Racing Club,23.99,1.21,13,24.62,-0.14,13,drawing,0,1,0,0,0
2047793,3,T. Conechny,RF,Racing Club,4.33,14.96,12,23.73,12.7,13,drawing,0,1,0,0,0
2047793,3,L. Alario,CF,Estudiantes,47.84,6.32,18,47.84,6.32,18,drawing,1,0,0,1,0
2047793,3,N. Colombo,RCB,Racing Club,9.38,-12.14,14,18.04,-15.57,14,drawing,0,1,0,0,0
2047793,4,A. Martínez,CF,Racing Club,47.1,7.94,18,47.1,7.94,18,drawing,1,0,1,1,0
2047793,4,G. Martirena,RWB,Racing Club,25.7,-7.07,14,27.03,-9.32,14,drawing,0,1,0,0,0
2047793,4,E. Meza,RB,Estudiantes,41.37,-9.69,19,41.37,-9.69,19,drawing,1,0,0,1,0
2047793,4,A. Fernández,LM,Racing Club,45.6,10.41,18,45.6,10.41,18,drawing,1,0,0,1,0
